SM,plate,celltype,sample_type,sort_type
fetal_after_5_E12,fetal_after_5_E12,fetal_after,graft,fetal,size
fetal_after_3_B12,fetal_after_3_B12,fetal_after,graft,fetal,size
fetal_after_3_A12,fetal_after_3_A12,fetal_after,graft,fetal,size
fetal_after_4_A3,fetal_after_4_A3,fetal_after,graft,fetal,size
fetal_after_4_B2,fetal_after_4_B2,fetal_after,graft,fetal,size
fetal_after_5_A6,fetal_after_5_A6,fetal_after,graft,fetal,size
fetal_after_2_B12,fetal_after_2_B12,fetal_after,graft,fetal,size
fetal_after_2_E8,fetal_after_2_E8,fetal_after,graft,fetal,size
fetal_after_1_F9,fetal_after_1_F9,fetal_after,graft,fetal,size
fetal_after_1_C9,fetal_after_1_C9,fetal_after,graft,fetal,size
fetal_after_5_C2,fetal_after_5_C2,fetal_after,graft,fetal,size
fetal_after_3_E6,fetal_after_3_E6,fetal_after,graft,fetal,size
fetal_after_1_D5,fetal_after_1_D5,fetal_after,graft,fetal,size
fetal_after_1_D6,fetal_after_1_D6,fetal_after,graft,fetal,size
fetal_after_3_G12,fetal_after_3_G12,fetal_after,graft,fetal,size
fetal_after_3_F12,fetal_after_3_F12,fetal_after,graft,fetal,size
fetal_after_4_C1,fetal_after_4_C1,fetal_after,graft,fetal,size
fetal_after_3_F7,fetal_after_3_F7,fetal_after,graft,fetal,size
fetal_after_5_D11,fetal_after_5_D11,fetal_after,graft,fetal,size
fetal_after_5_E5,fetal_after_5_E5,fetal_after,graft,fetal,size
fetal_after_2_A7,fetal_after_2_A7,fetal_after,graft,fetal,size
fetal_after_1_D8,fetal_after_1_D8,fetal_after,graft,fetal,size
fetal_after_1_B8,fetal_after_1_B8,fetal_after,graft,fetal,size
fetal_after_2_C3,fetal_after_2_C3,fetal_after,graft,fetal,size
fetal_after_2_E2,fetal_after_2_E2,fetal_after,graft,fetal,size
fetal_after_3_C6,fetal_after_3_C6,fetal_after,graft,fetal,size
fetal_after_2_C6,fetal_after_2_C6,fetal_after,graft,fetal,size
fetal_after_4_D4,fetal_after_4_D4,fetal_after,graft,fetal,size
fetal_after_2_A12,fetal_after_2_A12,fetal_after,graft,fetal,size
fetal_after_3_D7,fetal_after_3_D7,fetal_after,graft,fetal,size
fetal_after_5_H2,fetal_after_5_H2,fetal_after,graft,fetal,size
fetal_after_3_B6,fetal_after_3_B6,fetal_after,graft,fetal,size
fetal_after_1_E4,fetal_after_1_E4,fetal_after,graft,fetal,size
fetal_after_2_B5,fetal_after_2_B5,fetal_after,graft,fetal,size
fetal_after_4_C9,fetal_after_4_C9,fetal_after,graft,fetal,size
fetal_after_4_D8,fetal_after_4_D8,fetal_after,graft,fetal,size
fetal_after_1_B5,fetal_after_1_B5,fetal_after,graft,fetal,size
fetal_after_5_A8,fetal_after_5_A8,fetal_after,graft,fetal,size
fetal_after_5_G9,fetal_after_5_G9,fetal_after,graft,fetal,size
fetal_after_3_D10,fetal_after_3_D10,fetal_after,graft,fetal,size
fetal_after_3_H10,fetal_after_3_H10,fetal_after,graft,fetal,size
fetal_after_3_F10,fetal_after_3_F10,fetal_after,graft,fetal,size
fetal_after_1_F7,fetal_after_1_F7,fetal_after,graft,fetal,size
fetal_after_1_G10,fetal_after_1_G10,fetal_after,graft,fetal,size
fetal_after_1_A11,fetal_after_1_A11,fetal_after,graft,fetal,size
fetal_after_3_A1,fetal_after_3_A1,fetal_after,graft,fetal,size
fetal_after_1_C12,fetal_after_1_C12,fetal_after,graft,fetal,size
fetal_after_1_A12,fetal_after_1_A12,fetal_after,graft,fetal,size
fetal_after_1_F3,fetal_after_1_F3,fetal_after,graft,fetal,size
fetal_after_5_C10,fetal_after_5_C10,fetal_after,graft,fetal,size
fetal_after_2_D9,fetal_after_2_D9,fetal_after,graft,fetal,size
fetal_after_3_H9,fetal_after_3_H9,fetal_after,graft,fetal,size
fetal_after_5_F10,fetal_after_5_F10,fetal_after,graft,fetal,size
fetal_after_2_C10,fetal_after_2_C10,fetal_after,graft,fetal,size
fetal_after_2_D10,fetal_after_2_D10,fetal_after,graft,fetal,size
fetal_after_1_D7,fetal_after_1_D7,fetal_after,graft,fetal,size
fetal_after_1_A7,fetal_after_1_A7,fetal_after,graft,fetal,size
fetal_after_4_A6,fetal_after_4_A6,fetal_after,graft,fetal,size
fetal_after_4_E6,fetal_after_4_E6,fetal_after,graft,fetal,size
fetal_after_1_F2,fetal_after_1_F2,fetal_after,graft,fetal,size
fetal_after_1_F1,fetal_after_1_F1,fetal_after,graft,fetal,size
fetal_after_1_G1,fetal_after_1_G1,fetal_after,graft,fetal,size
fetal_after_1_C2,fetal_after_1_C2,fetal_after,graft,fetal,size
fetal_before_2_H4,fetal_before_2_H4,fetal_before,Culture,fetal,size
fetal_before_2_F4,fetal_before_2_F4,fetal_before,Culture,fetal,size
fetal_before_5_D8,fetal_before_5_D8,fetal_before,Culture,fetal,size
fetal_before_5_C8,fetal_before_5_C8,fetal_before,Culture,fetal,size
fetal_before_3_H5,fetal_before_3_H5,fetal_before,Culture,fetal,size
fetal_before_3_A6,fetal_before_3_A6,fetal_before,Culture,fetal,size
fetal_before_3_F5,fetal_before_3_F5,fetal_before,Culture,fetal,size
fetal_before_3_G5,fetal_before_3_G5,fetal_before,Culture,fetal,size
fetal_before_3_D5,fetal_before_3_D5,fetal_before,Culture,fetal,size
fetal_before_3_E5,fetal_before_3_E5,fetal_before,Culture,fetal,size
fetal_before_3_B5,fetal_before_3_B5,fetal_before,Culture,fetal,size
fetal_before_2_F5,fetal_before_2_F5,fetal_before,Culture,fetal,size
fetal_before_2_E5,fetal_before_2_E5,fetal_before,Culture,fetal,size
fetal_before_2_D5,fetal_before_2_D5,fetal_before,Culture,fetal,size
fetal_before_2_A5,fetal_before_2_A5,fetal_before,Culture,fetal,size
fetal_before_5_F9,fetal_before_5_F9,fetal_before,Culture,fetal,size
fetal_before_5_E1,fetal_before_5_E1,fetal_before,Culture,fetal,size
fetal_before_5_C1,fetal_before_5_C1,fetal_before,Culture,fetal,size
fetal_before_5_B1,fetal_before_5_B1,fetal_before,Culture,fetal,size
fetal_before_5_A2,fetal_before_5_A2,fetal_before,Culture,fetal,size
fetal_before_5_H1,fetal_before_5_H1,fetal_before,Culture,fetal,size
fetal_before_5_C2,fetal_before_5_C2,fetal_before,Culture,fetal,size
fetal_before_5_B2,fetal_before_5_B2,fetal_before,Culture,fetal,size
fetal_before_2_A7,fetal_before_2_A7,fetal_before,Culture,fetal,size
fetal_before_2_C6,fetal_before_2_C6,fetal_before,Culture,fetal,size
fetal_before_2_H5,fetal_before_2_H5,fetal_before,Culture,fetal,size
fetal_before_2_F6,fetal_before_2_F6,fetal_before,Culture,fetal,size
fetal_before_2_G6,fetal_before_2_G6,fetal_before,Culture,fetal,size
fetal_before_2_E6,fetal_before_2_E6,fetal_before,Culture,fetal,size
fetal_before_5_A9,fetal_before_5_A9,fetal_before,Culture,fetal,size
fetal_before_5_F8,fetal_before_5_F8,fetal_before,Culture,fetal,size
fetal_before_5_B11,fetal_before_5_B11,fetal_before,Culture,fetal,size
fetal_before_2_G2,fetal_before_2_G2,fetal_before,Culture,fetal,size
fetal_before_2_F2,fetal_before_2_F2,fetal_before,Culture,fetal,size
fetal_before_2_A3,fetal_before_2_A3,fetal_before,Culture,fetal,size
fetal_before_2_H2,fetal_before_2_H2,fetal_before,Culture,fetal,size
fetal_before_2_C2,fetal_before_2_C2,fetal_before,Culture,fetal,size
fetal_before_2_B2,fetal_before_2_B2,fetal_before,Culture,fetal,size
fetal_before_2_E2,fetal_before_2_E2,fetal_before,Culture,fetal,size
fetal_before_2_D2,fetal_before_2_D2,fetal_before,Culture,fetal,size
fetal_before_2_C3,fetal_before_2_C3,fetal_before,Culture,fetal,size
fetal_before_2_B3,fetal_before_2_B3,fetal_before,Culture,fetal,size
fetal_before_5_B8,fetal_before_5_B8,fetal_before,Culture,fetal,size
fetal_before_3_C1,fetal_before_3_C1,fetal_before,Culture,fetal,size
fetal_before_5_G5,fetal_before_5_G5,fetal_before,Culture,fetal,size
fetal_before_5_F5,fetal_before_5_F5,fetal_before,Culture,fetal,size
fetal_before_5_D5,fetal_before_5_D5,fetal_before,Culture,fetal,size
fetal_before_5_B5,fetal_before_5_B5,fetal_before,Culture,fetal,size
fetal_before_5_H4,fetal_before_5_H4,fetal_before,Culture,fetal,size
fetal_before_4_D12,fetal_before_4_D12,fetal_before,Culture,fetal,size
fetal_before_4_F12,fetal_before_4_F12,fetal_before,Culture,fetal,size
fetal_before_4_G12,fetal_before_4_G12,fetal_before,Culture,fetal,size
fetal_before_4_A12,fetal_before_4_A12,fetal_before,Culture,fetal,size
fetal_before_5_E7,fetal_before_5_E7,fetal_before,Culture,fetal,size
fetal_before_5_D7,fetal_before_5_D7,fetal_before,Culture,fetal,size
fetal_before_5_G7,fetal_before_5_G7,fetal_before,Culture,fetal,size
fetal_before_4_D10,fetal_before_4_D10,fetal_before,Culture,fetal,size
fetal_before_4_B10,fetal_before_4_B10,fetal_before,Culture,fetal,size
fetal_before_4_H9,fetal_before_4_H9,fetal_before,Culture,fetal,size
fetal_before_4_D9,fetal_before_4_D9,fetal_before,Culture,fetal,size
fetal_before_2_H9,fetal_before_2_H9,fetal_before,Culture,fetal,size
fetal_before_2_G9,fetal_before_2_G9,fetal_before,Culture,fetal,size
fetal_before_2_F9,fetal_before_2_F9,fetal_before,Culture,fetal,size
fetal_before_2_E10,fetal_before_2_E10,fetal_before,Culture,fetal,size
fetal_before_2_G11,fetal_before_2_G11,fetal_before,Culture,fetal,size
fetal_before_2_D11,fetal_before_2_D11,fetal_before,Culture,fetal,size
fetal_before_2_E11,fetal_before_2_E11,fetal_before,Culture,fetal,size
fetal_before_2_C11,fetal_before_2_C11,fetal_before,Culture,fetal,size
fetal_before_2_H10,fetal_before_2_H10,fetal_before,Culture,fetal,size
fetal_before_2_A11,fetal_before_2_A11,fetal_before,Culture,fetal,size
fetal_before_2_F11,fetal_before_2_F11,fetal_before,Culture,fetal,size
fetal_before_2_G1,fetal_before_2_G1,fetal_before,Culture,fetal,size
fetal_before_2_D1,fetal_before_2_D1,fetal_before,Culture,fetal,size
fetal_before_2_E1,fetal_before_2_E1,fetal_before,Culture,fetal,size
fetal_before_2_B1,fetal_before_2_B1,fetal_before,Culture,fetal,size
fetal_before_2_D12,fetal_before_2_D12,fetal_before,Culture,fetal,size
fetal_before_4_H3,fetal_before_4_H3,fetal_before,Culture,fetal,size
fetal_before_4_G3,fetal_before_4_G3,fetal_before,Culture,fetal,size
fetal_before_4_F3,fetal_before_4_F3,fetal_before,Culture,fetal,size
fetal_before_2_E9,fetal_before_2_E9,fetal_before,Culture,fetal,size
fetal_before_2_F12,fetal_before_2_F12,fetal_before,Culture,fetal,size
fetal_before_4_G1,fetal_before_4_G1,fetal_before,Culture,fetal,size
fetal_before_3_D7,fetal_before_3_D7,fetal_before,Culture,fetal,size
fetal_before_3_E7,fetal_before_3_E7,fetal_before,Culture,fetal,size
fetal_before_3_E3,fetal_before_3_E3,fetal_before,Culture,fetal,size
fetal_before_5_A8,fetal_before_5_A8,fetal_before,Culture,fetal,size
fetal_before_5_H7,fetal_before_5_H7,fetal_before,Culture,fetal,size
fetal_before_4_D2,fetal_before_4_D2,fetal_before,Culture,fetal,size
fetal_before_4_G2,fetal_before_4_G2,fetal_before,Culture,fetal,size
fetal_before_4_A2,fetal_before_4_A2,fetal_before,Culture,fetal,size
fetal_before_4_B2,fetal_before_4_B2,fetal_before,Culture,fetal,size
fetal_before_4_C2,fetal_before_4_C2,fetal_before,Culture,fetal,size
fetal_before_4_H2,fetal_before_4_H2,fetal_before,Culture,fetal,size
fetal_before_3_F6,fetal_before_3_F6,fetal_before,Culture,fetal,size
fetal_before_3_A7,fetal_before_3_A7,fetal_before,Culture,fetal,size
fetal_before_2_D3,fetal_before_2_D3,fetal_before,Culture,fetal,size
fetal_before_2_E3,fetal_before_2_E3,fetal_before,Culture,fetal,size
fetal_before_2_H3,fetal_before_2_H3,fetal_before,Culture,fetal,size
fetal_before_2_B4,fetal_before_2_B4,fetal_before,Culture,fetal,size
fetal_before_5_F3,fetal_before_5_F3,fetal_before,Culture,fetal,size
fetal_before_5_G4,fetal_before_5_G4,fetal_before,Culture,fetal,size
fetal_before_5_E4,fetal_before_5_E4,fetal_before,Culture,fetal,size
fetal_before_5_B4,fetal_before_5_B4,fetal_before,Culture,fetal,size
fetal_before_5_C4,fetal_before_5_C4,fetal_before,Culture,fetal,size
fetal_before_5_G3,fetal_before_5_G3,fetal_before,Culture,fetal,size
fetal_before_5_F11,fetal_before_5_F11,fetal_before,Culture,fetal,size
fetal_before_5_G11,fetal_before_5_G11,fetal_before,Culture,fetal,size
fetal_before_5_H8,fetal_before_5_H8,fetal_before,Culture,fetal,size
fetal_before_5_G8,fetal_before_5_G8,fetal_before,Culture,fetal,size
fetal_before_5_E9,fetal_before_5_E9,fetal_before,Culture,fetal,size
fetal_before_5_C9,fetal_before_5_C9,fetal_before,Culture,fetal,size
fetal_before_4_E3,fetal_before_4_E3,fetal_before,Culture,fetal,size
fetal_before_4_D3,fetal_before_4_D3,fetal_before,Culture,fetal,size
fetal_before_4_C3,fetal_before_4_C3,fetal_before,Culture,fetal,size
fetal_before_5_G9,fetal_before_5_G9,fetal_before,Culture,fetal,size
fetal_before_4_A4,fetal_before_4_A4,fetal_before,Culture,fetal,size
fetal_before_5_C6,fetal_before_5_C6,fetal_before,Culture,fetal,size
fetal_before_5_D6,fetal_before_5_D6,fetal_before,Culture,fetal,size
fetal_before_5_E6,fetal_before_5_E6,fetal_before,Culture,fetal,size
fetal_before_5_F6,fetal_before_5_F6,fetal_before,Culture,fetal,size
fetal_before_5_G6,fetal_before_5_G6,fetal_before,Culture,fetal,size
fetal_before_5_H6,fetal_before_5_H6,fetal_before,Culture,fetal,size
fetal_before_5_A7,fetal_before_5_A7,fetal_before,Culture,fetal,size
fetal_before_5_B7,fetal_before_5_B7,fetal_before,Culture,fetal,size
fetal_before_5_C7,fetal_before_5_C7,fetal_before,Culture,fetal,size
fetal_before_2_H11,fetal_before_2_H11,fetal_before,Culture,fetal,size
fetal_before_2_A12,fetal_before_2_A12,fetal_before,Culture,fetal,size
fetal_before_3_H1,fetal_before_3_H1,fetal_before,Culture,fetal,size
fetal_before_3_G1,fetal_before_3_G1,fetal_before,Culture,fetal,size
fetal_before_3_D1,fetal_before_3_D1,fetal_before,Culture,fetal,size
fetal_before_3_D12,fetal_before_3_D12,fetal_before,Culture,fetal,size
fetal_before_4_G4,fetal_before_4_G4,fetal_before,Culture,fetal,size
fetal_before_4_D4,fetal_before_4_D4,fetal_before,Culture,fetal,size
fetal_before_4_E4,fetal_before_4_E4,fetal_before,Culture,fetal,size
fetal_before_4_B5,fetal_before_4_B5,fetal_before,Culture,fetal,size
fetal_before_4_A5,fetal_before_4_A5,fetal_before,Culture,fetal,size
fetal_before_4_E5,fetal_before_4_E5,fetal_before,Culture,fetal,size
fetal_before_3_D8,fetal_before_3_D8,fetal_before,Culture,fetal,size
fetal_before_3_E8,fetal_before_3_E8,fetal_before,Culture,fetal,size
fetal_before_4_F1,fetal_before_4_F1,fetal_before,Culture,fetal,size
fetal_before_4_H12,fetal_before_4_H12,fetal_before,Culture,fetal,size
fetal_before_3_D9,fetal_before_3_D9,fetal_before,Culture,fetal,size
fetal_before_5_A1,fetal_before_5_A1,fetal_before,Culture,fetal,size
fetal_before_3_A10,fetal_before_3_A10,fetal_before,Culture,fetal,size
fetal_before_3_G9,fetal_before_3_G9,fetal_before,Culture,fetal,size
fetal_before_3_A9,fetal_before_3_A9,fetal_before,Culture,fetal,size
fetal_before_3_C9,fetal_before_3_C9,fetal_before,Culture,fetal,size
fetal_before_3_B9,fetal_before_3_B9,fetal_before,Culture,fetal,size
fetal_before_3_E9,fetal_before_3_E9,fetal_before,Culture,fetal,size
fetal_before_3_F9,fetal_before_3_F9,fetal_before,Culture,fetal,size
fetal_before_2_C8,fetal_before_2_C8,fetal_before,Culture,fetal,size
fetal_before_3_H12,fetal_before_3_H12,fetal_before,Culture,fetal,size
fetal_before_4_A1,fetal_before_4_A1,fetal_before,Culture,fetal,size
fetal_before_4_C1,fetal_before_4_C1,fetal_before,Culture,fetal,size
fetal_before_4_D1,fetal_before_4_D1,fetal_before,Culture,fetal,size
fetal_before_4_E1,fetal_before_4_E1,fetal_before,Culture,fetal,size
fetal_before_2_C7,fetal_before_2_C7,fetal_before,Culture,fetal,size
fetal_before_2_B7,fetal_before_2_B7,fetal_before,Culture,fetal,size
fetal_before_2_E7,fetal_before_2_E7,fetal_before,Culture,fetal,size
fetal_before_3_C2,fetal_before_3_C2,fetal_before,Culture,fetal,size
fetal_before_3_B2,fetal_before_3_B2,fetal_before,Culture,fetal,size
fetal_before_3_E2,fetal_before_3_E2,fetal_before,Culture,fetal,size
fetal_before_3_D4,fetal_before_3_D4,fetal_before,Culture,fetal,size
fetal_before_2_C1,fetal_before_2_C1,fetal_before,Culture,fetal,size
fetal_before_3_C4,fetal_before_3_C4,fetal_before,Culture,fetal,size
fetal_before_3_G4,fetal_before_3_G4,fetal_before,Culture,fetal,size
fetal_before_5_A6,fetal_before_5_A6,fetal_before,Culture,fetal,size
fetal_before_5_H5,fetal_before_5_H5,fetal_before,Culture,fetal,size
fetal_before_5_H9,fetal_before_5_H9,fetal_before,Culture,fetal,size
fetal_before_5_G10,fetal_before_5_G10,fetal_before,Culture,fetal,size
fetal_before_5_F10,fetal_before_5_F10,fetal_before,Culture,fetal,size
fetal_before_4_H8,fetal_before_4_H8,fetal_before,Culture,fetal,size
fetal_before_4_G8,fetal_before_4_G8,fetal_before,Culture,fetal,size
fetal_before_4_B9,fetal_before_4_B9,fetal_before,Culture,fetal,size
fetal_before_4_D8,fetal_before_4_D8,fetal_before,Culture,fetal,size
fetal_before_4_B12,fetal_before_4_B12,fetal_before,Culture,fetal,size
fetal_before_4_C12,fetal_before_4_C12,fetal_before,Culture,fetal,size
fetal_before_5_H11,fetal_before_5_H11,fetal_before,Culture,fetal,size
fetal_before_5_A12,fetal_before_5_A12,fetal_before,Culture,fetal,size
fetal_before_5_C11,fetal_before_5_C11,fetal_before,Culture,fetal,size
fetal_before_5_E11,fetal_before_5_E11,fetal_before,Culture,fetal,size
fetal_before_4_D11,fetal_before_4_D11,fetal_before,Culture,fetal,size
fetal_before_5_B12,fetal_before_5_B12,fetal_before,Culture,fetal,size
fetal_before_4_F10,fetal_before_4_F10,fetal_before,Culture,fetal,size
fetal_before_4_A11,fetal_before_4_A11,fetal_before,Culture,fetal,size
fetal_before_4_H10,fetal_before_4_H10,fetal_before,Culture,fetal,size
fetal_before_2_H12,fetal_before_2_H12,fetal_before,Culture,fetal,size
fetal_before_3_G8,fetal_before_3_G8,fetal_before,Culture,fetal,size
fetal_before_4_G10,fetal_before_4_G10,fetal_before,Culture,fetal,size
fetal_before_5_C12,fetal_before_5_C12,fetal_before,Culture,fetal,size
fetal_before_2_D10,fetal_before_2_D10,fetal_before,Culture,fetal,size
fetal_before_2_C10,fetal_before_2_C10,fetal_before,Culture,fetal,size
fetal_before_2_B10,fetal_before_2_B10,fetal_before,Culture,fetal,size
fetal_before_2_G10,fetal_before_2_G10,fetal_before,Culture,fetal,size
fetal_before_2_F10,fetal_before_2_F10,fetal_before,Culture,fetal,size
fetal_before_3_E10,fetal_before_3_E10,fetal_before,Culture,fetal,size
fetal_before_3_B10,fetal_before_3_B10,fetal_before,Culture,fetal,size
fetal_before_3_C10,fetal_before_3_C10,fetal_before,Culture,fetal,size
fetal_before_3_H10,fetal_before_3_H10,fetal_before,Culture,fetal,size
fetal_before_3_F10,fetal_before_3_F10,fetal_before,Culture,fetal,size
fetal_before_3_G10,fetal_before_3_G10,fetal_before,Culture,fetal,size
fetal_before_4_B4,fetal_before_4_B4,fetal_before,Culture,fetal,size
fetal_before_5_H12,fetal_before_5_H12,fetal_before,Culture,fetal,size
fetal_before_3_B8,fetal_before_3_B8,fetal_before,Culture,fetal,size
fetal_before_3_C8,fetal_before_3_C8,fetal_before,Culture,fetal,size
fetal_before_3_F7,fetal_before_3_F7,fetal_before,Culture,fetal,size
fetal_before_4_F11,fetal_before_4_F11,fetal_before,Culture,fetal,size
fetal_before_5_E3,fetal_before_5_E3,fetal_before,Culture,fetal,size
fetal_before_2_H1,fetal_before_2_H1,fetal_before,Culture,fetal,size
fetal_before_3_H9,fetal_before_3_H9,fetal_before,Culture,fetal,size
fetal_before_5_A3,fetal_before_5_A3,fetal_before,Culture,fetal,size
fetal_before_2_G7,fetal_before_2_G7,fetal_before,Culture,fetal,size
fetal_before_2_F7,fetal_before_2_F7,fetal_before,Culture,fetal,size
fetal_before_3_G2,fetal_before_3_G2,fetal_before,Culture,fetal,size
fetal_before_3_A3,fetal_before_3_A3,fetal_before,Culture,fetal,size
fetal_before_3_B3,fetal_before_3_B3,fetal_before,Culture,fetal,size
fetal_before_3_C3,fetal_before_3_C3,fetal_before,Culture,fetal,size
fetal_before_3_D3,fetal_before_3_D3,fetal_before,Culture,fetal,size
fetal_before_2_C12,fetal_before_2_C12,fetal_before,Culture,fetal,size
fetal_before_2_G5,fetal_before_2_G5,fetal_before,Culture,fetal,size
fetal_before_2_A1,fetal_before_2_A1,fetal_before,Culture,fetal,size
fetal_before_5_F2,fetal_before_5_F2,fetal_before,Culture,fetal,size
fetal_before_5_G2,fetal_before_5_G2,fetal_before,Culture,fetal,size
fetal_before_5_C3,fetal_before_5_C3,fetal_before,Culture,fetal,size
fetal_before_5_D2,fetal_before_5_D2,fetal_before,Culture,fetal,size
fetal_before_4_G5,fetal_before_4_G5,fetal_before,Culture,fetal,size
fetal_before_4_F5,fetal_before_4_F5,fetal_before,Culture,fetal,size
fetal_before_4_E6,fetal_before_4_E6,fetal_before,Culture,fetal,size
fetal_before_4_G6,fetal_before_4_G6,fetal_before,Culture,fetal,size
fetal_before_4_F6,fetal_before_4_F6,fetal_before,Culture,fetal,size
fetal_before_2_C9,fetal_before_2_C9,fetal_before,Culture,fetal,size
