SM,plate,celltype,sample_type,sort_type
fetal_before_2_E8,fetal_before_2_E8,fetal_before,Culture,fetal,size
fetal_before_2_F8,fetal_before_2_F8,fetal_before,Culture,fetal,size
fetal_before_2_G8,fetal_before_2_G8,fetal_before,Culture,fetal,size
fetal_before_4_H6,fetal_before_4_H6,fetal_before,Culture,fetal,size
fetal_before_4_A7,fetal_before_4_A7,fetal_before,Culture,fetal,size
fetal_before_4_B7,fetal_before_4_B7,fetal_before,Culture,fetal,size
fetal_before_4_C7,fetal_before_4_C7,fetal_before,Culture,fetal,size
fetal_before_4_D7,fetal_before_4_D7,fetal_before,Culture,fetal,size
fetal_before_4_G7,fetal_before_4_G7,fetal_before,Culture,fetal,size
fetal_before_5_H10,fetal_before_5_H10,fetal_before,Culture,fetal,size
fetal_before_5_C10,fetal_before_5_C10,fetal_before,Culture,fetal,size
fetal_before_5_B10,fetal_before_5_B10,fetal_before,Culture,fetal,size
fetal_before_5_A10,fetal_before_5_A10,fetal_before,Culture,fetal,size
fetal_before_4_D5,fetal_before_4_D5,fetal_before,Culture,fetal,size
fetal_before_2_D4,fetal_before_2_D4,fetal_before,Culture,fetal,size
fetal_before_2_E4,fetal_before_2_E4,fetal_before,Culture,fetal,size
fetal_before_4_B3,fetal_before_4_B3,fetal_before,Culture,fetal,size
fetal_before_3_G11,fetal_before_3_G11,fetal_before,Culture,fetal,size
fetal_before_3_D11,fetal_before_3_D11,fetal_before,Culture,fetal,size
fetal_before_3_H11,fetal_before_3_H11,fetal_before,Culture,fetal,size
fetal_before_3_C12,fetal_before_3_C12,fetal_before,Culture,fetal,size
fetal_before_5_G12,fetal_before_5_G12,fetal_before,Culture,fetal,size
fetal_before_5_D12,fetal_before_5_D12,fetal_before,Culture,fetal,size
fetal_before_5_F12,fetal_before_5_F12,fetal_before,Culture,fetal,size
fetal_before_2_B9,fetal_before_2_B9,fetal_before,Culture,fetal,size
RC17_after_mesDA_3_C5,RC17_after_mesDA_3_C5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_B2,RC17_after_mesDA_18_B2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A2,RC17_after_mesDA_18_A2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_F2,RC17_after_mesDA_18_F2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A3,RC17_after_mesDA_18_A3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_C2,RC17_after_mesDA_16_C2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_D5,RC17_after_mesDA_4_D5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_E9,RC17_after_mesDA_17_E9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_D9,RC17_after_mesDA_17_D9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_C9,RC17_after_mesDA_17_C9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_B9,RC17_after_mesDA_17_B9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_A9,RC17_after_mesDA_17_A9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_D4,RC17_after_mesDA_4_D4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_F4,RC17_after_mesDA_4_F4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_B2,RC17_after_mesDA_16_B2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_E3,RC17_after_mesDA_17_E3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_D10,RC17_after_mesDA_2_D10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_C10,RC17_after_mesDA_2_C10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_B10,RC17_after_mesDA_2_B10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_E10,RC17_after_mesDA_2_E10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_F9,RC17_after_mesDA_2_F9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_A10,RC17_after_mesDA_2_A10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_H9,RC17_after_mesDA_2_H9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_G9,RC17_after_mesDA_2_G9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_E2,RC17_after_mesDA_18_E2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_C5,RC17_after_mesDA_4_C5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_A5,RC17_after_mesDA_4_A5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B5,RC17_after_mesDA_4_B5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_C10,RC17_after_mesDA_16_C10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_B10,RC17_after_mesDA_16_B10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_E10,RC17_after_mesDA_16_E10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_D10,RC17_after_mesDA_16_D10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_A2,RC17_after_mesDA_2_A2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_H1,RC17_after_mesDA_2_H1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_C1,RC17_after_mesDA_2_C1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_B1,RC17_after_mesDA_2_B1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_A1,RC17_after_mesDA_2_A1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_G1,RC17_after_mesDA_2_G1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_F1,RC17_after_mesDA_2_F1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_E1,RC17_after_mesDA_2_E1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_D1,RC17_after_mesDA_2_D1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_D8,RC17_after_mesDA_4_D8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_B11,RC17_after_mesDA_17_B11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_C11,RC17_after_mesDA_17_C11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B9,RC17_after_mesDA_4_B9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_D6,RC17_after_mesDA_3_D6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_F7,RC17_after_mesDA_4_F7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_G7,RC17_after_mesDA_4_G7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_D7,RC17_after_mesDA_4_D7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_E7,RC17_after_mesDA_4_E7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B7,RC17_after_mesDA_4_B7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_C7,RC17_after_mesDA_4_C7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_F10,RC17_after_mesDA_3_F10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_G10,RC17_after_mesDA_3_G10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_D10,RC17_after_mesDA_3_D10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_E10,RC17_after_mesDA_3_E10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_B10,RC17_after_mesDA_3_B10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_C10,RC17_after_mesDA_3_C10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B2,RC17_after_mesDA_4_B2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_E2,RC17_after_mesDA_4_E2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_D2,RC17_after_mesDA_4_D2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_G2,RC17_after_mesDA_4_G2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_G8,RC17_after_mesDA_17_G8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_D8,RC17_after_mesDA_17_D8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_E8,RC17_after_mesDA_17_E8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_B8,RC17_after_mesDA_17_B8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_F7,RC17_after_mesDA_17_F7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_E4,RC17_after_mesDA_17_E4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_B10,RC17_after_mesDA_17_B10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_A11,RC17_after_mesDA_16_A11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_C1,RC17_after_mesDA_17_C1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_B1,RC17_after_mesDA_17_B1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_A3,RC17_after_mesDA_17_A3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_F2,RC17_after_mesDA_17_F2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_C3,RC17_after_mesDA_17_C3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_G10,RC17_after_mesDA_2_G10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_F10,RC17_after_mesDA_2_F10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_F10,RC17_after_mesDA_16_F10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_G9,RC17_after_mesDA_16_G9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_F9,RC17_after_mesDA_16_F9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_A10,RC17_after_mesDA_16_A10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_H9,RC17_after_mesDA_16_H9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_F11,RC17_after_mesDA_18_F11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_E11,RC17_after_mesDA_18_E11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_C11,RC17_after_mesDA_18_C11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_B11,RC17_after_mesDA_18_B11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A11,RC17_after_mesDA_18_A11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_H10,RC17_after_mesDA_18_H10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_G10,RC17_after_mesDA_18_G10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_E1,RC17_after_mesDA_17_E1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_D1,RC17_after_mesDA_17_D1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_F1,RC17_after_mesDA_17_F1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_A2,RC17_after_mesDA_17_A2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_C2,RC17_after_mesDA_17_C2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_B2,RC17_after_mesDA_17_B2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B12,RC17_after_mesDA_4_B12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_C12,RC17_after_mesDA_4_C12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_D11,RC17_after_mesDA_2_D11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_E11,RC17_after_mesDA_2_E11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_F11,RC17_after_mesDA_2_F11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_G11,RC17_after_mesDA_2_G11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_F12,RC17_after_mesDA_18_F12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_G12,RC17_after_mesDA_18_G12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_E12,RC17_after_mesDA_18_E12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_D1,RC17_after_mesDA_18_D1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_G11,RC17_after_mesDA_16_G11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_D10,RC17_after_mesDA_18_D10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_B12,RC17_after_mesDA_2_B12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B8,RC17_after_mesDA_4_B8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_F8,RC17_after_mesDA_4_F8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_A3,RC17_after_mesDA_2_A3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_C8,RC17_after_mesDA_4_C8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_C2,RC17_after_mesDA_2_C2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_C4,RC17_after_mesDA_17_C4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_A10,RC17_after_mesDA_4_A10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_E10,RC17_after_mesDA_17_E10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_F10,RC17_after_mesDA_17_F10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_G10,RC17_after_mesDA_17_G10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_A9,RC17_after_mesDA_3_A9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_H8,RC17_after_mesDA_3_H8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_G11,RC17_after_mesDA_18_G11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_G6,RC17_after_mesDA_3_G6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_F6,RC17_after_mesDA_3_F6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_C7,RC17_after_mesDA_3_C7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_B7,RC17_after_mesDA_3_B7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_A7,RC17_after_mesDA_3_A7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_H6,RC17_after_mesDA_3_H6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_E6,RC17_after_mesDA_3_E6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_G11,RC17_after_mesDA_4_G11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_H11,RC17_after_mesDA_17_H11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_D2,RC17_after_mesDA_2_D2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_A5,RC17_after_mesDA_16_A5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_E2,RC17_after_mesDA_2_E2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_B3,RC17_after_mesDA_2_B3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_C3,RC17_after_mesDA_2_C3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_C12,RC17_after_mesDA_18_C12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_B12,RC17_after_mesDA_18_B12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_H11,RC17_after_mesDA_18_H11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A12,RC17_after_mesDA_18_A12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_H10,RC17_after_mesDA_16_H10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_B11,RC17_after_mesDA_16_B11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_F7,RC17_after_mesDA_18_F7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_G7,RC17_after_mesDA_18_G7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_D7,RC17_after_mesDA_18_D7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A7,RC17_after_mesDA_18_A7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A1,RC17_after_mesDA_18_A1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_D9,RC17_after_mesDA_16_D9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_E10,RC17_after_mesDA_18_E10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_D9,RC17_after_mesDA_18_D9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_E9,RC17_after_mesDA_18_E9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A10,RC17_after_mesDA_18_A10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_C10,RC17_after_mesDA_18_C10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_B10,RC17_after_mesDA_18_B10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_D4,RC17_after_mesDA_2_D4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_H6,RC17_after_mesDA_2_H6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_A7,RC17_after_mesDA_2_A7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_D6,RC17_after_mesDA_2_D6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_E6,RC17_after_mesDA_2_E6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_F6,RC17_after_mesDA_2_F6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_G6,RC17_after_mesDA_2_G6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_H5,RC17_after_mesDA_2_H5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_A6,RC17_after_mesDA_2_A6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_B6,RC17_after_mesDA_2_B6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_F5,RC17_after_mesDA_16_F5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_A9,RC17_after_mesDA_2_A9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_F8,RC17_after_mesDA_2_F8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_D8,RC17_after_mesDA_2_D8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_E8,RC17_after_mesDA_2_E8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_A3,RC17_after_mesDA_16_A3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_G2,RC17_after_mesDA_16_G2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_F2,RC17_after_mesDA_16_F2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_E2,RC17_after_mesDA_16_E2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_D2,RC17_after_mesDA_16_D2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_E9,RC17_after_mesDA_2_E9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_G1,RC17_after_mesDA_18_G1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_G6,RC17_after_mesDA_4_G6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_D6,RC17_after_mesDA_4_D6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_C6,RC17_after_mesDA_4_C6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B6,RC17_after_mesDA_4_B6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_A6,RC17_after_mesDA_4_A6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_H5,RC17_after_mesDA_4_H5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_G5,RC17_after_mesDA_4_G5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_E9,RC17_after_mesDA_16_E9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_F8,RC17_after_mesDA_16_F8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_G8,RC17_after_mesDA_16_G8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_D8,RC17_after_mesDA_16_D8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_B9,RC17_after_mesDA_16_B9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_H2,RC17_after_mesDA_2_H2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_H8,RC17_after_mesDA_16_H8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_F2,RC17_after_mesDA_2_F2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_G2,RC17_after_mesDA_2_G2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_B2,RC17_after_mesDA_2_B2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_A7,RC17_after_mesDA_4_A7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_B1,RC17_after_mesDA_16_B1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_C1,RC17_after_mesDA_16_C1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_B4,RC17_after_mesDA_17_B4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_G11,RC17_after_mesDA_3_G11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_E11,RC17_after_mesDA_3_E11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_D11,RC17_after_mesDA_3_D11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_E12,RC17_after_mesDA_3_E12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_D12,RC17_after_mesDA_3_D12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_D3,RC17_after_mesDA_18_D3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_F8,RC17_after_mesDA_18_F8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_A9,RC17_after_mesDA_18_A9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_E7,RC17_after_mesDA_18_E7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_C7,RC17_after_mesDA_18_C7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_A11,RC17_after_mesDA_17_A11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_E6,RC17_after_mesDA_16_E6,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B4,RC17_after_mesDA_4_B4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_C4,RC17_after_mesDA_4_C4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_B3,RC17_after_mesDA_4_B3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_C3,RC17_after_mesDA_4_C3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_4_A4,RC17_after_mesDA_4_A4,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_E9,RC17_after_mesDA_3_E9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_D9,RC17_after_mesDA_3_D9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_G9,RC17_after_mesDA_3_G9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_F9,RC17_after_mesDA_3_F9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_C9,RC17_after_mesDA_3_C9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_B9,RC17_after_mesDA_3_B9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_H8,RC17_after_mesDA_2_H8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_C1,RC17_after_mesDA_3_C1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_C9,RC17_after_mesDA_2_C9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_B9,RC17_after_mesDA_2_B9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_G2,RC17_after_mesDA_17_G2,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_D3,RC17_after_mesDA_17_D3,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_B11,RC17_after_mesDA_3_B11,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_C12,RC17_after_mesDA_16_C12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_C8,RC17_after_mesDA_18_C8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_B8,RC17_after_mesDA_18_B8,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_C9,RC17_after_mesDA_18_C9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_B9,RC17_after_mesDA_18_B9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_C9,RC17_after_mesDA_16_C9,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_B12,RC17_after_mesDA_16_B12,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_E7,RC17_after_mesDA_2_E7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_D7,RC17_after_mesDA_2_D7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_2_C7,RC17_after_mesDA_2_C7,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_17_A10,RC17_after_mesDA_17_A10,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_18_F1,RC17_after_mesDA_18_F1,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_16_G5,RC17_after_mesDA_16_G5,RC17_after_mesDA,graft,ES,GFP
RC17_after_mesDA_3_A2,RC17_after_mesDA_3_A2,RC17_after_mesDA,graft,ES,GFP
